filename,date,time,DOY,latitude,longitude,altitude,canopy_height,displacement_height,roughness_length,file_length,acquisition_frequency,master_sonic_manufacturer,master_sonic_model,master_sonic_height,master_sonic_wformat,master_sonic_wref,master_sonic_north_offset,master_sonic_hpath_length,master_sonic_vpath_length,master_sonic_tau,co2_irga_manufacturer,co2_irga_model,co2_measure_type,co2_irga_northward_separation,co2_irga_eastward_separation,co2_irga_vertical_separation,co2_irga_tube_length,co2_irga_tube_diameter,co2_irga_tube_flowrate,co2_irga_kw,co2_irga_ko,co2_irga_hpath_length,co2_irga_vpath_length,co2_irga_tau,h2o_irga_manufacturer,h2o_irga_model,h2o_measure_type,h2o_irga_northward_separation,h2o_irga_eastward_separation,h2o_irga_vertical_separation,h2o_irga_tube_length,h2o_irga_tube_diameter,h2o_irga_tube_flowrate,h2o_irga_kw,h2o_irga_ko,h2o_irga_hpath_length,h2o_irga_vpath_length,h2o_irga_tau,ch4_irga_manufacturer,ch4_irga_model,ch4_measure_type,ch4_irga_northward_separation,ch4_irga_eastward_separation,ch4_irga_vertical_separation,ch4_irga_tube_length,ch4_irga_tube_diameter,ch4_irga_tube_flowrate,ch4_irga_kw,ch4_irga_ko,ch4_irga_hpath_length,ch4_irga_vpath_length,ch4_irga_tau
2022-12-23T173000_Maize-Control-Gill.ghg,2022-12-23,18:00,357.7498,40.062854770000001,-88.200904850000001,220.30000000000001,0.10000000000000001,6.7000000000000004E-002,1.4999999999999999E-002,30.000000000000000,10.000000000000000,gill,wmpro_1,2.7700000000000000,uvw,spar,0.0000000000000000,11.000000000000000,12.500000000000000,2.5000000000000001E-002,licor,li7500ds_1,molar_density,0.0000000000000000,0.0000000000000000,0.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500ds_1,molar_density,0.0000000000000000,0.0000000000000000,0.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,none,none,none,-999900.00000000000,-999900.00000000000,-999900.00000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,-999900.00000000000,-999900.00000000000,-9999.0000000000000
2022-12-23T180000_Maize-Control-Gill.ghg,2022-12-23,18:30,357.7707,40.062854770000001,-88.200904850000001,220.30000000000001,0.10000000000000001,6.7000000000000004E-002,1.4999999999999999E-002,30.000000000000000,10.000000000000000,gill,wmpro_1,2.7700000000000000,uvw,spar,0.0000000000000000,11.000000000000000,12.500000000000000,2.5000000000000001E-002,licor,li7500ds_1,molar_density,0.0000000000000000,0.0000000000000000,0.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500ds_1,molar_density,0.0000000000000000,0.0000000000000000,0.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,none,none,none,-999900.00000000000,-999900.00000000000,-999900.00000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,-999900.00000000000,-999900.00000000000,-9999.0000000000000
2022-12-23T183000_Maize-Control-Gill.ghg,2022-12-23,19:00,357.7915,40.062854770000001,-88.200904850000001,220.30000000000001,0.10000000000000001,6.7000000000000004E-002,1.4999999999999999E-002,30.000000000000000,10.000000000000000,gill,wmpro_1,2.7700000000000000,uvw,spar,0.0000000000000000,11.000000000000000,12.500000000000000,2.5000000000000001E-002,licor,li7500ds_1,molar_density,0.0000000000000000,0.0000000000000000,0.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500ds_1,molar_density,0.0000000000000000,0.0000000000000000,0.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,none,none,none,-999900.00000000000,-999900.00000000000,-999900.00000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,-999900.00000000000,-999900.00000000000,-9999.0000000000000
2022-12-23T190000_Maize-Control-Gill.ghg,2022-12-23,19:30,357.8123,40.062854770000001,-88.200904850000001,220.30000000000001,0.10000000000000001,6.7000000000000004E-002,1.4999999999999999E-002,30.000000000000000,10.000000000000000,gill,wmpro_1,2.7700000000000000,uvw,spar,0.0000000000000000,11.000000000000000,12.500000000000000,2.5000000000000001E-002,licor,li7500ds_1,molar_density,0.0000000000000000,0.0000000000000000,0.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500ds_1,molar_density,0.0000000000000000,0.0000000000000000,0.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,none,none,none,-999900.00000000000,-999900.00000000000,-999900.00000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,-999900.00000000000,-999900.00000000000,-9999.0000000000000
2022-12-23T193000_Maize-Control-Gill.ghg,2022-12-23,20:00,357.8331,40.062854770000001,-88.200904850000001,220.30000000000001,0.10000000000000001,6.7000000000000004E-002,1.4999999999999999E-002,30.000000000000000,10.000000000000000,gill,wmpro_1,2.7700000000000000,uvw,spar,0.0000000000000000,11.000000000000000,12.500000000000000,2.5000000000000001E-002,licor,li7500ds_1,molar_density,0.0000000000000000,0.0000000000000000,0.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500ds_1,molar_density,0.0000000000000000,0.0000000000000000,0.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,none,none,none,-999900.00000000000,-999900.00000000000,-999900.00000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,-999900.00000000000,-999900.00000000000,-9999.0000000000000
2022-12-23T200000_Maize-Control-Gill.ghg,2022-12-23,20:30,357.8540,40.062854770000001,-88.200904850000001,220.30000000000001,0.10000000000000001,6.7000000000000004E-002,1.4999999999999999E-002,30.000000000000000,10.000000000000000,gill,wmpro_1,2.7700000000000000,uvw,spar,0.0000000000000000,11.000000000000000,12.500000000000000,2.5000000000000001E-002,licor,li7500ds_1,molar_density,0.0000000000000000,0.0000000000000000,0.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500ds_1,molar_density,0.0000000000000000,0.0000000000000000,0.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,none,none,none,-999900.00000000000,-999900.00000000000,-999900.00000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,-999900.00000000000,-999900.00000000000,-9999.0000000000000
2022-12-23T203000_Maize-Control-Gill.ghg,2022-12-23,21:00,357.8748,40.062854770000001,-88.200904850000001,220.30000000000001,0.10000000000000001,6.7000000000000004E-002,1.4999999999999999E-002,30.000000000000000,10.000000000000000,gill,wmpro_1,2.7700000000000000,uvw,spar,0.0000000000000000,11.000000000000000,12.500000000000000,2.5000000000000001E-002,licor,li7500ds_1,molar_density,0.0000000000000000,0.0000000000000000,0.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500ds_1,molar_density,0.0000000000000000,0.0000000000000000,0.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,none,none,none,-999900.00000000000,-999900.00000000000,-999900.00000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,-999900.00000000000,-999900.00000000000,-9999.0000000000000
2022-12-23T210000_Maize-Control-Gill.ghg,2022-12-23,21:30,357.8956,40.062854770000001,-88.200904850000001,220.30000000000001,0.10000000000000001,6.7000000000000004E-002,1.4999999999999999E-002,30.000000000000000,10.000000000000000,gill,wmpro_1,2.7700000000000000,uvw,spar,0.0000000000000000,11.000000000000000,12.500000000000000,2.5000000000000001E-002,licor,li7500ds_1,molar_density,0.0000000000000000,0.0000000000000000,0.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500ds_1,molar_density,0.0000000000000000,0.0000000000000000,0.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,none,none,none,-999900.00000000000,-999900.00000000000,-999900.00000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,-999900.00000000000,-999900.00000000000,-9999.0000000000000
2022-12-23T213000_Maize-Control-Gill.ghg,2022-12-23,22:00,357.9165,40.062854770000001,-88.200904850000001,220.30000000000001,0.10000000000000001,6.7000000000000004E-002,1.4999999999999999E-002,30.000000000000000,10.000000000000000,gill,wmpro_1,2.7700000000000000,uvw,spar,0.0000000000000000,11.000000000000000,12.500000000000000,2.5000000000000001E-002,licor,li7500ds_1,molar_density,0.0000000000000000,0.0000000000000000,0.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500ds_1,molar_density,0.0000000000000000,0.0000000000000000,0.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,none,none,none,-999900.00000000000,-999900.00000000000,-999900.00000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,-999900.00000000000,-999900.00000000000,-9999.0000000000000
2022-12-23T220000_Maize-Control-Gill.ghg,2022-12-23,22:30,357.9373,40.062854770000001,-88.200904850000001,220.30000000000001,0.10000000000000001,6.7000000000000004E-002,1.4999999999999999E-002,30.000000000000000,10.000000000000000,gill,wmpro_1,2.7700000000000000,uvw,spar,0.0000000000000000,11.000000000000000,12.500000000000000,2.5000000000000001E-002,licor,li7500ds_1,molar_density,0.0000000000000000,0.0000000000000000,0.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500ds_1,molar_density,0.0000000000000000,0.0000000000000000,0.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,none,none,none,-999900.00000000000,-999900.00000000000,-999900.00000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,-999900.00000000000,-999900.00000000000,-9999.0000000000000
2022-12-23T223000_Maize-Control-Gill.ghg,2022-12-23,23:00,357.9581,40.062854770000001,-88.200904850000001,220.30000000000001,0.10000000000000001,6.7000000000000004E-002,1.4999999999999999E-002,30.000000000000000,10.000000000000000,gill,wmpro_1,2.7700000000000000,uvw,spar,0.0000000000000000,11.000000000000000,12.500000000000000,2.5000000000000001E-002,licor,li7500ds_1,molar_density,0.0000000000000000,0.0000000000000000,0.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500ds_1,molar_density,0.0000000000000000,0.0000000000000000,0.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,none,none,none,-999900.00000000000,-999900.00000000000,-999900.00000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,-999900.00000000000,-999900.00000000000,-9999.0000000000000
2022-12-23T230000_Maize-Control-Gill.ghg,2022-12-23,23:30,357.9790,40.062854770000001,-88.200904850000001,220.30000000000001,0.10000000000000001,6.7000000000000004E-002,1.4999999999999999E-002,30.000000000000000,10.000000000000000,gill,wmpro_1,2.7700000000000000,uvw,spar,0.0000000000000000,11.000000000000000,12.500000000000000,2.5000000000000001E-002,licor,li7500ds_1,molar_density,0.0000000000000000,0.0000000000000000,0.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500ds_1,molar_density,0.0000000000000000,0.0000000000000000,0.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,none,none,none,-999900.00000000000,-999900.00000000000,-999900.00000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,-999900.00000000000,-999900.00000000000,-9999.0000000000000
2022-12-23T233000_Maize-Control-Gill.ghg,2022-12-24,00:00,358.0000,40.062854770000001,-88.200904850000001,220.30000000000001,0.10000000000000001,6.7000000000000004E-002,1.4999999999999999E-002,30.000000000000000,10.000000000000000,gill,wmpro_1,2.7700000000000000,uvw,spar,0.0000000000000000,11.000000000000000,12.500000000000000,2.5000000000000001E-002,licor,li7500ds_1,molar_density,0.0000000000000000,0.0000000000000000,0.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500ds_1,molar_density,0.0000000000000000,0.0000000000000000,0.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,none,none,none,-999900.00000000000,-999900.00000000000,-999900.00000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,-999900.00000000000,-999900.00000000000,-9999.0000000000000
2022-12-24T000000_Maize-Control-Gill.ghg,2022-12-24,00:30,358.0208,40.062854770000001,-88.200904850000001,220.30000000000001,0.10000000000000001,6.7000000000000004E-002,1.4999999999999999E-002,30.000000000000000,10.000000000000000,gill,wmpro_1,2.7700000000000000,uvw,spar,0.0000000000000000,11.000000000000000,12.500000000000000,2.5000000000000001E-002,licor,li7500ds_1,molar_density,0.0000000000000000,0.0000000000000000,0.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500ds_1,molar_density,0.0000000000000000,0.0000000000000000,0.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,none,none,none,-999900.00000000000,-999900.00000000000,-999900.00000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,-999900.00000000000,-999900.00000000000,-9999.0000000000000
2022-12-24T003000_Maize-Control-Gill.ghg,2022-12-24,01:00,358.0416,40.062854770000001,-88.200904850000001,220.30000000000001,0.10000000000000001,6.7000000000000004E-002,1.4999999999999999E-002,30.000000000000000,10.000000000000000,gill,wmpro_1,2.7700000000000000,uvw,spar,0.0000000000000000,11.000000000000000,12.500000000000000,2.5000000000000001E-002,licor,li7500ds_1,molar_density,0.0000000000000000,0.0000000000000000,0.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500ds_1,molar_density,0.0000000000000000,0.0000000000000000,0.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,none,none,none,-999900.00000000000,-999900.00000000000,-999900.00000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,-999900.00000000000,-999900.00000000000,-9999.0000000000000
2022-12-24T010000_Maize-Control-Gill.ghg,2022-12-24,01:30,358.0624,40.062854770000001,-88.200904850000001,220.30000000000001,0.10000000000000001,6.7000000000000004E-002,1.4999999999999999E-002,30.000000000000000,10.000000000000000,gill,wmpro_1,2.7700000000000000,uvw,spar,0.0000000000000000,11.000000000000000,12.500000000000000,2.5000000000000001E-002,licor,li7500ds_1,molar_density,0.0000000000000000,0.0000000000000000,0.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500ds_1,molar_density,0.0000000000000000,0.0000000000000000,0.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,none,none,none,-999900.00000000000,-999900.00000000000,-999900.00000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,-999900.00000000000,-999900.00000000000,-9999.0000000000000
2022-12-24T013000_Maize-Control-Gill.ghg,2022-12-24,02:00,358.0833,40.062854770000001,-88.200904850000001,220.30000000000001,0.10000000000000001,6.7000000000000004E-002,1.4999999999999999E-002,30.000000000000000,10.000000000000000,gill,wmpro_1,2.7700000000000000,uvw,spar,0.0000000000000000,11.000000000000000,12.500000000000000,2.5000000000000001E-002,licor,li7500ds_1,molar_density,0.0000000000000000,0.0000000000000000,0.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500ds_1,molar_density,0.0000000000000000,0.0000000000000000,0.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,none,none,none,-999900.00000000000,-999900.00000000000,-999900.00000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,-999900.00000000000,-999900.00000000000,-9999.0000000000000
2022-12-24T020000_Maize-Control-Gill.ghg,2022-12-24,02:30,358.1041,40.062854770000001,-88.200904850000001,220.30000000000001,0.10000000000000001,6.7000000000000004E-002,1.4999999999999999E-002,30.000000000000000,10.000000000000000,gill,wmpro_1,2.7700000000000000,uvw,spar,0.0000000000000000,11.000000000000000,12.500000000000000,2.5000000000000001E-002,licor,li7500ds_1,molar_density,0.0000000000000000,0.0000000000000000,0.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500ds_1,molar_density,0.0000000000000000,0.0000000000000000,0.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,none,none,none,-999900.00000000000,-999900.00000000000,-999900.00000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,-999900.00000000000,-999900.00000000000,-9999.0000000000000
2022-12-24T023000_Maize-Control-Gill.ghg,2022-12-24,03:00,358.1249,40.062854770000001,-88.200904850000001,220.30000000000001,0.10000000000000001,6.7000000000000004E-002,1.4999999999999999E-002,30.000000000000000,10.000000000000000,gill,wmpro_1,2.7700000000000000,uvw,spar,0.0000000000000000,11.000000000000000,12.500000000000000,2.5000000000000001E-002,licor,li7500ds_1,molar_density,0.0000000000000000,0.0000000000000000,0.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500ds_1,molar_density,0.0000000000000000,0.0000000000000000,0.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,none,none,none,-999900.00000000000,-999900.00000000000,-999900.00000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,-999900.00000000000,-999900.00000000000,-9999.0000000000000
2022-12-24T030000_Maize-Control-Gill.ghg,2022-12-24,03:30,358.1458,40.062854770000001,-88.200904850000001,220.30000000000001,0.10000000000000001,6.7000000000000004E-002,1.4999999999999999E-002,30.000000000000000,10.000000000000000,gill,wmpro_1,2.7700000000000000,uvw,spar,0.0000000000000000,11.000000000000000,12.500000000000000,2.5000000000000001E-002,licor,li7500ds_1,molar_density,0.0000000000000000,0.0000000000000000,0.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500ds_1,molar_density,0.0000000000000000,0.0000000000000000,0.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,none,none,none,-999900.00000000000,-999900.00000000000,-999900.00000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,-999900.00000000000,-999900.00000000000,-9999.0000000000000
2022-12-24T033000_Maize-Control-Gill.ghg,2022-12-24,04:00,358.1666,40.062854770000001,-88.200904850000001,220.30000000000001,0.10000000000000001,6.7000000000000004E-002,1.4999999999999999E-002,30.000000000000000,10.000000000000000,gill,wmpro_1,2.7700000000000000,uvw,spar,0.0000000000000000,11.000000000000000,12.500000000000000,2.5000000000000001E-002,licor,li7500ds_1,molar_density,0.0000000000000000,0.0000000000000000,0.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500ds_1,molar_density,0.0000000000000000,0.0000000000000000,0.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,none,none,none,-999900.00000000000,-999900.00000000000,-999900.00000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,-999900.00000000000,-999900.00000000000,-9999.0000000000000
2022-12-24T040000_Maize-Control-Gill.ghg,2022-12-24,04:30,358.1874,40.062854770000001,-88.200904850000001,220.30000000000001,0.10000000000000001,6.7000000000000004E-002,1.4999999999999999E-002,30.000000000000000,10.000000000000000,gill,wmpro_1,2.7700000000000000,uvw,spar,0.0000000000000000,11.000000000000000,12.500000000000000,2.5000000000000001E-002,licor,li7500ds_1,molar_density,0.0000000000000000,0.0000000000000000,0.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500ds_1,molar_density,0.0000000000000000,0.0000000000000000,0.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,none,none,none,-999900.00000000000,-999900.00000000000,-999900.00000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,-999900.00000000000,-999900.00000000000,-9999.0000000000000
2022-12-24T043000_Maize-Control-Gill.ghg,2022-12-24,05:00,358.2083,40.062854770000001,-88.200904850000001,220.30000000000001,0.10000000000000001,6.7000000000000004E-002,1.4999999999999999E-002,30.000000000000000,10.000000000000000,gill,wmpro_1,2.7700000000000000,uvw,spar,0.0000000000000000,11.000000000000000,12.500000000000000,2.5000000000000001E-002,licor,li7500ds_1,molar_density,0.0000000000000000,0.0000000000000000,0.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500ds_1,molar_density,0.0000000000000000,0.0000000000000000,0.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,none,none,none,-999900.00000000000,-999900.00000000000,-999900.00000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,-999900.00000000000,-999900.00000000000,-9999.0000000000000
2022-12-24T050000_Maize-Control-Gill.ghg,2022-12-24,05:30,358.2291,40.062854770000001,-88.200904850000001,220.30000000000001,0.10000000000000001,6.7000000000000004E-002,1.4999999999999999E-002,30.000000000000000,10.000000000000000,gill,wmpro_1,2.7700000000000000,uvw,spar,0.0000000000000000,11.000000000000000,12.500000000000000,2.5000000000000001E-002,licor,li7500ds_1,molar_density,0.0000000000000000,0.0000000000000000,0.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500ds_1,molar_density,0.0000000000000000,0.0000000000000000,0.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,none,none,none,-999900.00000000000,-999900.00000000000,-999900.00000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,-999900.00000000000,-999900.00000000000,-9999.0000000000000
2022-12-24T053000_Maize-Control-Gill.ghg,2022-12-24,06:00,358.2499,40.062854770000001,-88.200904850000001,220.30000000000001,0.10000000000000001,6.7000000000000004E-002,1.4999999999999999E-002,30.000000000000000,10.000000000000000,gill,wmpro_1,2.7700000000000000,uvw,spar,0.0000000000000000,11.000000000000000,12.500000000000000,2.5000000000000001E-002,licor,li7500ds_1,molar_density,0.0000000000000000,0.0000000000000000,0.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500ds_1,molar_density,0.0000000000000000,0.0000000000000000,0.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,none,none,none,-999900.00000000000,-999900.00000000000,-999900.00000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,-999900.00000000000,-999900.00000000000,-9999.0000000000000
